0.01	0.831	442797.0672607422
1253.59	0.578	814741.0400390626
1258.78	0.536	1116843.6157226562
2354.07	0.667	613131.8603515625
4349.07	0.752	606841.9677734375
4823.26	0.738	563611.8103027343
6953.55	0.589	322030.50689697266
8753.34	0.651	5046155.029296876
9285.64	0.562	309539.7476196289
10067.23	0.726	3083924.6826171875
12470.95	0.532	507290.9606933594
13478.94	0.884	1348595.2758789062
15759.79	0.586	887061.3952636719
16661.43	0.892	320851.96533203125
18704.2	0.571	570031.8695068359
18791.74	0.526	355674.9694824219
19157.93	0.592	589188.7786865233
24404.52	0.578	624472.2259521484
25038.11	0.579	644559.8205566406
25342.39	0.595	382598.79150390625
25772.15	0.611	4283981.15234375
25859.22	0.839	2742999.0478515625
25948.190000000002	0.775	8216325.0
26058.87	0.555	3127123.6572265625
26689.18	0.51	362225.5920410156
29346.04	0.809	1091074.5910644531
32464.99	0.712	568531.4025878906
34192.83	0.598	450507.56530761713
35987.31	0.647	1901612.451171875
36570.76	0.716	1104837.5793457034
37272.770000000004	0.583	430477.77404785156
37990.69	0.8	970042.7978515625
42326.22	0.867	2593498.095703125
46078.16	0.795	1445548.583984375
46095.11	0.504	926780.9020996094
46214.31	0.898	1437791.5893554688
46286.270000000004	0.552	1093632.4584960938
46300.0	0.558	926575.714111328
46322.28	0.762	1601632.8491210938
46621.18	0.614	1049416.9860839846
46829.88	0.698	657452.3468017578
46855.89	0.81	1775932.666015625
46880.37	0.785	975407.8369140625
46941.98	0.912	1443486.5478515625
47422.62	0.506	485649.4201660156
52669.91	0.505	358235.85205078125
52956.840000000004	0.76	187003.4408569336
54587.18	0.957	1072428.1921386719
54595.41	0.76	850678.5339355468
55021.61	0.903	681648.3825683594
55173.82	0.595	164791.1865234375
55220.64	0.614	379071.6766357422
55227.590000000004	0.923	282183.9080810547
55299.950000000004	0.876	277750.54626464844
55305.35	0.915	331143.5791015625
55324.58	0.904	404001.6998291015
55859.1	0.915	197549.1195678711
58565.21	0.902	427520.08361816406
58792.62	0.943	47365.71502685547
59273.26	0.787	297685.7376098633
59686.380000000005	0.684	51599.085998535156
59830.62	0.577	322879.72412109375
62811.47	0.839	70719.74411010742
63215.8	0.518	171438.71002197266
63650.47	0.909	136034.1911315918
63755.9	0.722	131647.43499755862
64318.590000000004	0.546	53864.0983581543
65206.310000000005	0.771	40910.81314086913
65899.38	0.889	76574.52964782716
65966.92	0.503	51829.719161987305
66370.46	0.971	221713.95263671875
66721.14	0.82	355788.19580078125
66867.63	0.806	92178.03573608398
66987.31	0.593	89996.14791870117
67193.63	0.959	85844.57244873047
67262.59	0.701	169455.6427001953
67828.38	0.651	59263.365173339844
69108.62	0.74	115109.67788696289
69345.47	0.52	72063.76113891602
70493.15000000001	0.642	48719.23866271973
71642.59	0.8	33923.48175048828
72989.90000000001	0.735	169279.3960571289
73071.35	0.557	136713.5093688965
73394.12	0.575	38511.66934967041
73593.79000000001	0.548	43299.53536987305
73970.14	0.686	57237.01477050781
74033.73	0.523	113583.03680419922
74249.06	0.883	167755.87921142578
74381.0	0.59	118782.66983032225
74563.14	0.536	88093.32885742189
74752.2	0.585	512660.3240966797
75046.15000000001	0.605	470274.64294433594
75310.86	0.646	40710.11562347412
75549.34	0.555	275805.08880615234
76162.43000000001	0.638	37406.13327026367
76228.91	0.836	131805.46188354492
76380.75	0.692	150152.45971679688
76647.43000000001	0.688	457658.8348388672
77140.52	0.637	107601.17416381836
77215.22	0.951	69553.99703979492
77248.36	0.534	71412.25852966309
77353.87	0.556	239836.17401123047
77601.7	0.565	106677.50091552736
77658.51	0.633	173371.7300415039
77794.83	0.505	36450.48866271973
78563.17	0.906	55449.97596740723
79303.42	0.575	323442.56286621094
79391.5	0.835	75323.40164184569
79886.04000000001	0.644	73926.02462768555
81523.02	0.743	153189.66445922852
81650.83	0.727	452074.20654296875
83816.99	0.953	837898.9562988281
0.01	0.831	442797.0672607422
1253.59	0.578	814741.0400390626
1258.78	0.536	1116843.6157226562
2354.07	0.667	613131.8603515625
4349.07	0.752	606841.9677734375
4823.26	0.738	563611.8103027343
6953.55	0.589	322030.50689697266
8753.34	0.651	5046155.029296876
9285.64	0.562	309539.7476196289
10067.23	0.726	3083924.6826171875
12470.95	0.532	507290.9606933594
13478.94	0.884	1348595.2758789062
15759.79	0.586	887061.3952636719
16661.43	0.892	320851.96533203125
18704.2	0.571	570031.8695068359
18791.74	0.526	355674.9694824219
19157.93	0.592	589188.7786865233
24404.52	0.578	624472.2259521484
25038.11	0.579	644559.8205566406
25342.39	0.595	382598.79150390625
25772.15	0.611	4283981.15234375
25859.22	0.839	2742999.0478515625
25948.190000000002	0.775	8216325.0
26058.87	0.555	3127123.6572265625
26689.18	0.51	362225.5920410156
29346.04	0.809	1091074.5910644531
32464.99	0.712	568531.4025878906
34192.83	0.598	450507.56530761713
35987.31	0.647	1901612.451171875
36570.76	0.716	1104837.5793457034
37272.770000000004	0.583	430477.77404785156
37990.69	0.8	970042.7978515625
42326.22	0.867	2593498.095703125
46078.16	0.795	1445548.583984375
46095.11	0.504	926780.9020996094
46214.31	0.898	1437791.5893554688
46286.270000000004	0.552	1093632.4584960938
46300.0	0.558	926575.714111328
46322.28	0.762	1601632.8491210938
46621.18	0.614	1049416.9860839846
46829.88	0.698	657452.3468017578
46855.89	0.81	1775932.666015625
46880.37	0.785	975407.8369140625
46941.98	0.912	1443486.5478515625
47422.62	0.506	485649.4201660156
52669.91	0.505	358235.85205078125
52956.840000000004	0.76	187003.4408569336
54587.18	0.957	1072428.1921386719
54595.41	0.76	850678.5339355468
55021.61	0.903	681648.3825683594
55173.82	0.595	164791.1865234375
55220.64	0.614	379071.6766357422
55227.590000000004	0.923	282183.9080810547
55299.950000000004	0.876	277750.54626464844
55305.35	0.915	331143.5791015625
55324.58	0.904	404001.6998291015
55859.1	0.915	197549.1195678711
58565.21	0.902	427520.08361816406
58792.62	0.943	47365.71502685547
59273.26	0.787	297685.7376098633
59686.380000000005	0.684	51599.085998535156
59830.62	0.577	322879.72412109375
62811.47	0.839	70719.74411010742
63215.8	0.518	171438.71002197266
63650.47	0.909	136034.1911315918
63755.9	0.722	131647.43499755862
64318.590000000004	0.546	53864.0983581543
65206.310000000005	0.771	40910.81314086913
65899.38	0.889	76574.52964782716
65966.92	0.503	51829.719161987305
66370.46	0.971	221713.95263671875
66721.14	0.82	355788.19580078125
66867.63	0.806	92178.03573608398
66987.31	0.593	89996.14791870117
67193.63	0.959	85844.57244873047
67262.59	0.701	169455.6427001953
67828.38	0.651	59263.365173339844
69108.62	0.74	115109.67788696289
69345.47	0.52	72063.76113891602
70493.15000000001	0.642	48719.23866271973
71642.59	0.8	33923.48175048828
72989.90000000001	0.735	169279.3960571289
73071.35	0.557	136713.5093688965
73394.12	0.575	38511.66934967041
73593.79000000001	0.548	43299.53536987305
73970.14	0.686	57237.01477050781
74033.73	0.523	113583.03680419922
74249.06	0.883	167755.87921142578
74381.0	0.59	118782.66983032225
74563.14	0.536	88093.32885742189
74752.2	0.585	512660.3240966797
75046.15000000001	0.605	470274.64294433594
75310.86	0.646	40710.11562347412
75549.34	0.555	275805.08880615234
76162.43000000001	0.638	37406.13327026367
76228.91	0.836	131805.46188354492
76380.75	0.692	150152.45971679688
76647.43000000001	0.688	457658.8348388672
77140.52	0.637	107601.17416381836
77215.22	0.951	69553.99703979492
77248.36	0.534	71412.25852966309
77353.87	0.556	239836.17401123047
77601.7	0.565	106677.50091552736
77658.51	0.633	173371.7300415039
77794.83	0.505	36450.48866271973
78563.17	0.906	55449.97596740723
79303.42	0.575	323442.56286621094
79391.5	0.835	75323.40164184569
79886.04000000001	0.644	73926.02462768555
81523.02	0.743	153189.66445922852
81650.83	0.727	452074.20654296875
83816.99	0.953	837898.9562988281
